candidate	song	artist	sentiment	theme	album_release_date	line	url	artist_genius	lastfm_song	lastfm_artist	lastfm_listeners
Donald Trump
Hillary Clinton
Jeb Bush
Chris Christie
Ben Carson
Ted Cruz
Mike Huckabee
Bernie Sanders
root
Donald Trump	211	Master P	positive	money	1994	Put more cash in my pockets than Donald Trump	http://genius.com/Master-p-211-lyrics	Master P	211	Master P	327
Donald Trump	Slenderman	Germ	neutral		2016	"That gives no fuck, like Trump and such"	http://genius.com/Uicideboy-x-germ-slenderman-lyrics	$UICIDEBOY$ x GERM	$UICIDEBOY$ x GERM - SLENDERMAN	Germ	105
Donald Trump	10 2 10 (Remix)	Rick Ross	positive	hotel	2014	"I got a place at the Trump, just to pray for advice"	http://genius.com/Big-sean-10-2-10-remix-lyrics	Big Sean	10 2 10 (Remix) (Feat Big Sean and Travis )	Rick Ross	7
Donald Trump	10 Times	Freddie Gibbs	positive	hotel	2015	"Smokin at the Trump Tower, bout to call a ho"	http://genius.com/Freddie-gibbs-10-times-lyrics	Freddie Gibbs	10 Times	Freddie Gibbs	8044
Hillary Clinton	Nightmares of the Bottom (Triggamix)	Trey Songz	negative	sexual	2011	She think she's my bottom bitch; Hillary Rodham-ish	http://genius.com/Trey-songz-nightmares-of-the-bottom-triggamix-lyrics	Trey Songz	18 Nightmares Of The Bottom - Triggamix	Trey Songz	31
Donald Trump	Three Strikes You In	Ice Cube	positive	money	1998	I'm just tryin' to get rich like Trump	http://genius.com/Ice-cube-three-strikes-you-in-lyrics	Ice Cube	3 Strikes You In	Ice Cube	7093
Donald Trump	Men of Respect	Sheek Louch	neutral		2007	"I'm getting sex from 9th and up, that's living it up / Not Donald Trump but what, buying pies for the class"	http://genius.com/Kasino-men-of-respect-lyrics	Kasino	33. Men Of Respect	Sheek Louch	1
Donald Trump	50/Banks	50 Cent	positive	money	2002	"We can talk Trump talk, real estate, stocks, and bonds"	http://genius.com/50-cent-50-banks-lyrics	50 Cent	50/Banks	50 Cent	418
Hillary Clinton	A Milli	Fabolous	negative	personal	2008	"Hillary, Bill Clin--Fuck it. They don't get it"	http://genius.com/Fabolous-a-milli-lyrics	Fabolous	A Millie (Freestyle)	Fabolous	215
Hillary Clinton	A Thing for Me	G-Eazy	neutral	personal	2011	"Liberally, accepting Monicas but missing Hillary"	http://genius.com/G-eazy-a-thing-for-me-lyrics	G-Eazy	A Thing For Me ft. Metronomy/Breakbot	G-Eazy	609
Hillary Clinton	American History X	Ill Bill	negative	political	2004	"I eat politicians for breakfast / Till infinity it's endless / Bill and Hillary, George Bush, everybody's gettin it"	http://genius.com/Ill-bill-american-history-x-lyrics	ILL BILL	American History X	Ill Bill	21489
Donald Trump	Another One	Rock	neutral		2011	"I own them, fuck a Donald Trump, I'm 'Donald Dump' I got realty"	http://genius.com/Random-axe-another-one-lyrics	Random Axe	Another One	Random Axe	2792
Jeb Bush	Awe	Dez & Nobs	neutral		2006	I heard Jeb Bush looking for a (inaudible)	http://genius.com/Dez-and-nobs-awe-lyrics	Dez & Nobs	Awe	Dez & Nobs	370
Donald Trump	Ba Bump	Black Eyed Peas	positive	money	2006	And if you got money fellas keep it like Trump	http://genius.com/Black-eyed-peas-ba-bump-lyrics	The Black Eyed Peas	Ba Bump	Black Eyed Peas	109097
Hillary Clinton	Back Together	Nicki Minaj	positive		2015	Used to call me Hillary cause I ride 'em	http://genius.com/Robin-thicke-back-together-lyrics	Robin Thicke	Back Together	Nicki Minaj	355
Hillary Clinton	Bad Bad Bad	Gucci Mane	positive	personal	2010	Stay down like Hillary and I can be your Billy	http://genius.com/Gucci-mane-bad-bad-bad-lyrics	Gucci Mane	Bad Bad Bad (feat. Keyshia Cole)	Gucci Mane	5861
Donald Trump	Bad Boy on Death Row	Dave East	negative		2016	"Donald Trump ain't safe on my block, gotcha your wifey at IHOP"	http://genius.com/Dave-east-bad-boy-on-death-row-lyrics	Dave East	Bad Boy on Death Row (feat. The Game)	Dave East	193
Donald Trump	Bad Boyz	Shyne	positive	hotel	2000	What type of n---- stay in the Trump for weeks? (Bad Boyz)	http://genius.com/Shyne-bad-boyz-lyrics	Shyne	Bad Boyz	Shyne	8057
Hillary Clinton	Badman in Tivoli	Skepta	neutral	personal	2012	Black Bill Clinton linking Monica and Hillary	http://genius.com/Skepta-badman-in-tivoli-lyrics	Skepta	Badman In Tivoli	Skepta	1511
Donald Trump	Ball	Lil Wayne	neutral	The Apprentice	2012	I'ma fire my blunt like Donald Trump	http://genius.com/Ti-ball-lyrics	T.I.	Ball	T.I	3735
Donald Trump	Bars	Migos	positive	money	2016	Billionaire looking my way I�۪m on pace / Feeling like Donald Trump back in the day	http://genius.com/Migos-bars-lyrics	Migos	Bars	Migos	2962
Donald Trump	Billionaire	Twista	positive	money	2009	Donald Trump makin big money go-getter	http://genius.com/Twista-billionaire-lyrics	Twista	Billionaire Ft. Busta Rhymes	Twista	1811
Hillary Clinton	Bitch I'm Bill Clinton	Lil B	positive	political	2010	"Shout-outs to Hillary Clinton, you gonna win that presidency"	http://genius.com/Lil-b-bitch-im-bill-clinton-lyrics	Lil B	Bitch I'm Bill Clinton	Lil B	790
Donald Trump	Black Friday	Kendrick Lamar	negative	political	2015	"Play with him, bitch you better off voting for Donald Trump"	http://genius.com/Kendrick-lamar-black-friday-lyrics	Kendrick Lamar	Black Friday	Kendrick Lamar	2664
Donald Trump	Blame the Label (Ghida Fakhry)	The Narcicyst	neutral	personal	2012	We're brushing up over here (hair) like Donald Trump	http://genius.com/The-narcicyst-blame-the-label-ghida-fakhry-lyrics	Narcy	Blame The Label (Ghida Fakhry)	The Narcicyst	34
Donald Trump	Blow Ya Mind Remix	Jadakiss	positive	hotel	2007	"Pump haze, blow sour, top floor of the Trump Towers"	http://genius.com/Styles-p-blow-ya-mind-remix-lyrics	Styles P	Blow Ya Mind Remix Ft Styles P & Sheek	Jadakiss	155
Donald Trump	Blue Flame Remix	Lil B	neutral	The Apprentice	2010	"Call me Donald Trump how I fire losers / How Donald Trump fire workers, I fire rugers"	http://genius.com/Lil-b-blue-flame-remix-lyrics	Lil B	Blue Flame (Remix)	Lil B	2291
Donald Trump	Bonnie & Shyne	Shyne	neutral	hotel	2000	"Did it all, Four Seasons to the Trump"	http://genius.com/Shyne-bonnie-and-shyne-lyrics	Shyne	Bonnie & Shyne (feat. Barrington Levy)	Shyne	1926
Hillary Clinton	Born to Ball	Skeme	positive	money	2012	But I'm all about my bills / Grind stay Hillary Rodham	http://genius.com/Skeme-born-to-ball-lyrics	Skeme	Born To Ball	Skeme	509
Donald Trump	Boughetto	Ali	positive	money	2002	"Trump money, but it's still the motel and Kyjuan"	http://genius.com/Ali-boughetto-lyrics	Ali Jones	Boughetto	Ali	448
Chris Christie	Brass Tacks	Chris Webby	neutral		2016	Eating rappers like I got the appetite of Chris Christie	http://genius.com/Chris-webby-brass-tacks-lyrics	Chris Webby	Brass Tacks (feat. D. Lector)	Chris Webby	237
Donald Trump	Break My Wrist	Young Thug	neutral	The Apprentice	2013	I'm Donald Trump I just fire my bitch	http://genius.com/Peewee-longway-break-my-wrist-lyrics	PeeWee Longway	Break My Wrist (Feat. Migos & Peewee Longway)	Young Thug	126
Donald Trump	Break My Wrist	PeeWee Longway	neutral	The Apprentice	2013	"I'm Donald Trump, you think I won't fire my bitch"	http://genius.com/Peewee-longway-break-my-wrist-lyrics	PeeWee Longway	Break My Wrist (Feat. Migos & Young Thug)	PeeWee Longway	3
Jeb Bush	Bricks and Marijuana	Kase	neutral		2001	When Jeb Bush pushing life / If I tout my weapon	http://genius.com/Trick-daddy-bricks-and-marijuana-lyrics	Trick Daddy	Bricks & Marijuana	Kase	17
Hillary Clinton	Bring It Back	KRS-ONE	neutral		1997	It Takes a Village like Hillary	http://genius.com/Krs-one-bring-it-back-lyrics	KRS-One	Bring It Back	KRS-One	355
Donald Trump	Buku	Robb Bank$	positive	hotel	2015	I'm with my Mexican bitch at the Trump	http://genius.com/Robb-bank-buku-lyrics	Robb Bank$	Buku	Robb Bank$	2878
Jeb Bush	Bush Song	Macklemore	negative	political	2005	"Way to go Jeb, really great strategy"	http://genius.com/Macklemore-bush-song-lyrics	Macklemore	Bush Song	Macklemore	14258
Donald Trump	Buy U Some 2	Erick Sermon	positive	money	2006	"No need to talk about the reeiches, I mean Trump punk"	http://genius.com/Too-short-buy-u-some-2-lyrics	Too $hort	Buy U Some 2 [*]	Erick Sermon	4
Donald Trump	Castle	Kevin Gates	negative		2016	I just told Donald Trump think about if you came from rubble	http://genius.com/Kevin-gates-castle-lyrics	Kevin Gates	Castle	Kevin Gates	62
Jeb Bush	Chamber of Fear	RZA	neutral	personal	2005	Bobby got Bush like George and Jeb	http://genius.com/Rza-chamber-of-fear-lyrics	RZA	Chamber Of Fear (Feat. Rev William Burk)	RZA	210
Donald Trump	Cloud Aura	Brooke Candy	positive	personal	2013	"Ivana and Trump, shit, we coulda' ran the world"	http://genius.com/Charli-xcx-cloud-aura-lyrics	Charli XCX	Cloud Aura (feat. Charli XCX)	Brooke Candy	422
Donald Trump	Coke & Wet	Spank Rock	positive	money	2006	"That's Wall Street, Donald Trump, bass grilla stack"	http://genius.com/Spank-rock-coke-and-wet-lyrics	Spank Rock	Coke & Wet	Spank Rock	32663
Donald Trump	Come Again	Rockie Fresh	negative	political	2016	We fucking up if we let Trump in the office	http://genius.com/Rockie-fresh-come-again-lyrics	Rockie Fresh	Come Again	Rockie Fresh	416
Donald Trump	Comin' for Ya Head	Raekwon	positive	hotel	2012	"We chilling in the Trump Towers, onions and soul"	http://genius.com/Wu-block-comin-for-ya-head-lyrics	Wu Block	Comin For Ya Head	Raekwon	1
Donald Trump	Computers (Freestyle)	Migos	neutral	hotel	2015	Smoking power at the Trump tower	http://genius.com/Migos-computers-freestyle-lyrics	Migos	Computers (Freestyle) ft Bobby Shmurda	Migos	50
Donald Trump	Constantly Hating	Young Thug	positive	money	2015	I've seen more holes than a golf course on Donald Trumps course	http://genius.com/Young-thug-constantly-hating-lyrics	Young Thug	Constantly Hating (feat. Birdman)	Young Thug	33633
Donald Trump	Country Grammar (Hot Shit)	Nelly	positive	money	2000	"Bill Gates, Donald Trump, let me in now"	http://genius.com/Nelly-country-grammar-hot-shit-lyrics	Nelly	Country Grammar (Hot Shit)	Nelly	32952
Hillary Clinton	Cradle Rock	Method Man	negative	political	1998	Bad vibes filling me with thoughts of conspiracy / White Water scandals with Bill Clinton/Hillary	http://genius.com/Method-man-cradle-rock-lyrics	Method Man	Cradle Rock	Method Man	13765
Donald Trump	Crazy	50 Cent	positive	hotel	2002	Now I'm paid - catch me in the Trump Tower lobby	http://genius.com/50-cent-crazy-lyrics	50 Cent	Crazy (feat. PnB Rock)	50 Cent	1100
Donald Trump	Cross 'Em Out and Put a 'K	Westside Connection	positive	money	1996	I smoke and make dough like Trump	http://genius.com/Westside-connection-cross-em-out-and-put-a-k-lyrics	Westside Connection	Cross em out and put a k	Westside Connection	98
Donald Trump	Da Funk	Redman	positive	personal	1992	I'm well known like Donald Trump	http://genius.com/Redman-da-funk-lyrics	Redman	Da Funk	Redman	20310
Hillary Clinton	Dark Night of the Blood Spiller	Chino XL	negative	sexual	1994	Getting my dick sucked / On the cover of Source magazine by Hillary Clinton	http://genius.com/Chino-xl-night-of-the-blood-spiller-lyrics	Chino XL	Dark Night of the Blood Spiller	Chino XL	5
Donald Trump	Dart School	Raekwon	neutral		2011	"We was cooling in the Trump section, throwing bubbly"	http://genius.com/Raekwon-dart-school-lyrics	Raekwon	Dart School	Raekwon	9586
Hillary Clinton	Datpiff (freeverse series Ep. 4)	Chris Webby	neutral		2016	"The planet is collapsing, economies are crashin' / And Hillary Clinton is dabbin'"	http://genius.com/Chris-webby-datpiff-freeverse-series-ep-4-lyrics	Chris Webby	DatPiff (Freeverse Series Ep. 4)	Chris Webby	11
Donald Trump	Datpiff (freeverse series Ep. 4)	Chris Webby	neutral		2016	You'll never see it like Donald Trump on a prayer mat	http://genius.com/Chris-webby-datpiff-freeverse-series-ep-4-lyrics	Chris Webby	DatPiff (Freeverse Series Ep. 4)	Chris Webby	11
Chris Christie	Daydreaming	Awkwafina	neutral		2014	"Chris Christie, you a man beast"	http://genius.com/Awkwafina-daydreaming-lyrics	Awkwafina	Daydreaming	Awkwafina	55
Donald Trump	Daze	Ja-Bar	positive	money	2010	"The Donald Trump money, a pow way is stuntin' and problems keep on comin'"	http://genius.com/Ja-bar-daze-lyrics	Ja-Bar	Daze	Ja-bar	939
Donald Trump	Dipshits	Cam'ron	positive	hotel	2014	"Lookin' for me? Top floor suite of the Trump, baby"	http://genius.com/Camron-dipshits-lyrics	Cam\'ron	Dipshits	Cam'ron	93
Hillary Clinton	Disgusting	Logic	neutral	personal	2012	However on the light of note I stayed with bills like Hilary	http://genius.com/Logic-disgusting-lyrics	Logic	Disgusting (Feat C Dot Castro)	Logic	4747
Donald Trump	Dolly and the Rat Trap	Ultramagnetic MC's	neutral	money	1992	Look at Donald Trump!	http://genius.com/Ultramagnetic-mcs-dolly-and-the-rat-trap-lyrics	Ultramagnetic MC\'s	Dolly And The Rat Trap	Ultramagnetic MC's	1416
Donald Trump	Don't Drop That	Futuristic	neutral	The Apprentice	2013	Not even Donald Trump would fire Zach	http://genius.com/Futuristic-dont-drop-that-lyrics	Futuristic	Don't Drop That...	Futuristic	7
Donald Trump	Don't Trip	Petey Pablo	neutral		2009	I done been with Donald Trump and you help bitches	http://genius.com/Petey-pablo-dont-trip-lyrics	Petey Pablo	Don't Trip Featuring Ying Yang Twins	Petey Pablo	114
Donald Trump	Donald Trump 	Mac Miller	positive	money	2011	"Take over the world when I'm on my Donald Trump shit / Look at all this money, ain't that some shit"	http://genius.com/Mac-miller-donald-trump-lyrics	Mac Miller	Donald Trump	Mac Miller	276185
Donald Trump	Dope	T.I.	negative		2016	"Where I stay all they say is ���Fuck Trump�۝, all day"	http://genius.com/Ti-dope-lyrics	T.I.	DOPE	T.I.	5411
Hillary Clinton	Dope Boy	Gorilla Zoe	neutral		2009	"Hey Ms. Hilary, can't be kin to me (No) / But I keep that white bitch on another level G"	http://genius.com/Gorilla-zoe-dope-boy-lyrics	Gorilla Zoe	Dope Boy	Gorilla Zoe	44474
Donald Trump	Dope Spot	Cam'ron	neutral	political	2015	"Arrogant rich n----, we might vote for Trump"	http://genius.com/Camron-berner-dope-spot-lyrics	Berner & Cam\'ron	Dope Spot (feat. Berner Wiz Khalifa & Young Dolph)	Cam'ron	2
Donald Trump	Driving Gloves	The Alchemist	positive	money	2015	"Pockets Trump like I just struck the lottery, lotto"	http://genius.com/Gangrene-driving-gloves-lyrics	Gangrene	Driving Gloves (feat. Action Bronson)	The Alchemist	1499
Donald Trump	Dumb	The High & Mighty	negative	personal	2005	"I'm Donald Trump, with raccoon hair-dos"	http://genius.com/The-high-and-mighty-dumb-lyrics	The High & Mighty	Dumb	The High & Mighty	596
Donald Trump	E.I.	Nelly	positive	hotel	2000	Get a room in Trump Towers just to hit the P hours	http://genius.com/Nelly-ei-lyrics	Nelly	E.I.	Nelly	124619
Donald Trump	El Chapo	The Game	negative	personal	2015	Come through and knock Donald Trump out his toupee	http://genius.com/The-game-el-chapo-lyrics	The Game	El Chapo	The Game	10113
Donald Trump	Elimination Chamber	Action Bronson	positive	hotel	2012	"Backflip in a jacuzzi, forty floors inside the Trump"	http://genius.com/Domo-genesis-and-alchemist-elimination-chamber-lyrics	Domo Genesis & Alchemist	Elimination Chamber (Feat. Vince Staples Earl Sweatshirt & Domo Genesis)	Action Bronson	182
Hillary Clinton	Energy	Big Boi	neutral	personal	2008	Energy like Bill and Hillary Clinton	http://genius.com/Raheem-devaughn-energy-feat-big-boi-lyrics	Raheem DeVaughn	Energy	Big Boi	43
Hillary Clinton	Every Girl	Gudda Gudda	neutral		2010	"And Hillary can Rodham too, boy, I gets my pimpin' on"	http://genius.com/Young-money-every-girl-lyrics	Young Money	Every Girl In The World	Gudda Gudda	41
Donald Trump	Everything's a Go (Remix)	Waka Flocka Flame	positive	money	2012	"Donald Trump bank account, you can call it that"	http://genius.com/Waka-flocka-flame-everythings-a-go-remix-lyrics	Waka Flocka Flame	Everything's A Go Remix (Ft. French Montana Birdman Wale Fabolous Jadakiss)	Waka Flocka Flame	113
Donald Trump	Everywhere I Go	Tha Eastsidaz	positive	hotel	2001	I got a room at the Trump / Later on we can slump	http://genius.com/Tha-eastsidaz-everywhere-i-go-lyrics	Tha Eastsidaz	Everywhere I Go	Tha Eastsidaz	664
Hillary Clinton	Fall Down Brew	R.A. the Rugged Man	negative		2008	"Sewed Hillary Clinton's mouth, and that's after drinkin just one"	http://genius.com/Chief-chinchilla-aka-j-zone-fall-down-brew-lyrics	Chief Chinchilla a.k.a. J-Zone	Fall Down Brew (Featuring J-Zone & Chief Chinchilla)	R.A. the Rugged Man	1
Donald Trump	Favorite Drug	Styles P	positive	hotel	2006	"Got a blunt blaze it up, we can get a room in the Trump"	http://genius.com/Styles-p-favorite-drug-lyrics	Styles P	Favorite Drug	Styles P	3455
